# Constructed from biom file
#OTU ID	Bact89	Bact1z3z2R	Bact5z5z2	Bact3z5z2	Bact183	Bact3z1z2R	Bact1z2z2R	Bact3z4z2	Bact128	Bact3z5z2R	Bact3z3z2	Bact90	Bact197	Bact5z5z2R	Bact127	Bact175zFB	Bact5z1z2	Bact1z5z2	Bact101	Bact5z3z2	Bact3z4z2R	Bact198	Bact1z1z2	Bact180	Bact177	Bact192	Bact5z2z2R	Bact5z1z2R	Bact5z2z2	Bact181	Bact3z3z2R	Bact176	Bact86	Bact194	Bact3z2z2R	Bact5z3z2R	Bact5z4z2	Bact1z3z2	Bact105	Bact5z4z2R	Bact182	Bact196	Bact130	Bact87	Bact184	Bact102	Bact193	Bact103	Bact1z1z2R	Bact126	Bact195	Bact1z4z2	Bact3z1z2	Bact1z5z2R	Bact3z2z2	Bact1z4z2R	Bact190	Bact104	Bact88	Bact179	Bact191	Bact1z2z2	Bact178
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);D_5__uncultured	19.0	47.0	75.0	7.0	16.0	18.0	9.0	15.0	39.0	10.0	31.0	73.0	11.0	2.0	52.0	9.0	55.0	49.0	53.0	81.0	18.0	88.0	12.0	13.0	31.0	9.0	30.0	67.0	28.0	3.0	57.0	8.0	18.0	9.0	39.0	21.0	13.0	17.0	14.0	2.0	14.0	2.0	23.0	19.0	30.0	35.0	108.0	65.0	14.0	31.0	15.0	62.0	19.0	66.0	35.0	61.0	8.0	23.0	18.0	23.0	2.0	12.0	5.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Acidobacteriaceae (Subgroup 1);__	41.0	132.0	251.0	104.0	238.0	89.0	205.0	125.0	131.0	142.0	106.0	69.0	418.0	500.0	122.0	22.0	69.0	109.0	131.0	399.0	102.0	317.0	35.0	298.0	95.0	257.0	262.0	70.0	174.0	294.0	92.0	114.0	164.0	107.0	130.0	183.0	202.0	44.0	89.0	251.0	140.0	370.0	228.0	203.0	952.0	100.0	360.0	111.0	38.0	148.0	480.0	174.0	65.0	145.0	73.0	124.0	111.0	135.0	133.0	654.0	267.0	40.0	62.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__Koribacteraceae;D_5__Candidatus Koribacter	24.0	27.0	53.0	16.0	47.0	41.0	98.0	22.0	29.0	14.0	43.0	32.0	84.0	83.0	34.0	56.0	8.0	37.0	48.0	48.0	18.0	65.0	26.0	66.0	16.0	100.0	57.0	17.0	37.0	51.0	25.0	21.0	33.0	65.0	36.0	16.0	46.0	12.0	26.0	115.0	32.0	76.0	36.0	53.0	59.0	29.0	125.0	31.0	10.0	28.0	131.0	81.0	9.0	82.0	83.0	57.0	25.0	32.0	25.0	67.0	114.0	19.0	22.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__bacterium Ellin5257	9.0	13.0	2.0	12.0	0.0	3.0	4.0	38.0	20.0	14.0	6.0	3.0	0.0	0.0	0.0	2.0	7.0	5.0	7.0	0.0	18.0	0.0	5.0	0.0	4.0	0.0	2.0	16.0	0.0	0.0	24.0	0.0	19.0	0.0	0.0	0.0	0.0	2.0	11.0	0.0	8.0	0.0	12.0	5.0	0.0	6.0	0.0	15.0	3.0	0.0	0.0	13.0	6.0	12.0	40.0	16.0	0.0	7.0	13.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__bacterium Ellin7529	7.0	31.0	11.0	61.0	0.0	3.0	67.0	2.0	13.0	67.0	17.0	7.0	0.0	0.0	4.0	0.0	2.0	29.0	11.0	30.0	6.0	0.0	10.0	8.0	6.0	7.0	0.0	8.0	4.0	0.0	13.0	2.0	15.0	12.0	16.0	12.0	23.0	12.0	4.0	0.0	7.0	3.0	8.0	2.0	2.0	15.0	17.0	11.0	2.0	1.0	6.0	48.0	2.0	45.0	13.0	39.0	27.0	62.0	0.0	0.0	17.0	2.0	3.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__bacterium K-5b2	24.0	5.0	11.0	17.0	32.0	9.0	44.0	25.0	62.0	10.0	11.0	28.0	6.0	9.0	29.0	135.0	5.0	12.0	7.0	29.0	12.0	2.0	23.0	31.0	9.0	8.0	19.0	18.0	3.0	17.0	18.0	18.0	3.0	6.0	4.0	9.0	0.0	0.0	7.0	12.0	27.0	10.0	43.0	1.0	10.0	15.0	7.0	19.0	25.0	28.0	5.0	10.0	0.0	23.0	10.0	17.0	4.0	13.0	39.0	11.0	9.0	24.0	8.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__uncultured Acidobacteriaceae bacterium	213.0	175.0	228.0	208.0	136.0	212.0	136.0	291.0	293.0	200.0	227.0	312.0	90.0	95.0	240.0	231.0	247.0	151.0	223.0	227.0	190.0	4.0	280.0	154.0	160.0	123.0	322.0	315.0	264.0	76.0	203.0	154.0	143.0	331.0	133.0	120.0	212.0	86.0	98.0	171.0	106.0	148.0	424.0	94.0	77.0	137.0	79.0	317.0	190.0	207.0	149.0	140.0	135.0	226.0	129.0	174.0	111.0	272.0	119.0	115.0	266.0	109.0	128.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__uncultured Holophaga sp.	42.0	58.0	44.0	73.0	63.0	54.0	74.0	95.0	33.0	89.0	56.0	20.0	56.0	67.0	97.0	9.0	16.0	70.0	17.0	231.0	68.0	4.0	31.0	74.0	7.0	78.0	112.0	21.0	83.0	33.0	15.0	17.0	40.0	34.0	16.0	100.0	42.0	23.0	40.0	151.0	11.0	39.0	39.0	32.0	26.0	9.0	25.0	46.0	50.0	40.0	180.0	134.0	27.0	167.0	287.0	127.0	31.0	80.0	81.0	9.0	89.0	21.0	15.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__uncultured bacterium DA038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;D_5__uncultured forest soil bacterium	106.0	17.0	85.0	115.0	21.0	187.0	4.0	255.0	161.0	132.0	52.0	171.0	8.0	13.0	125.0	2.0	165.0	28.0	99.0	525.0	127.0	0.0	281.0	27.0	88.0	31.0	181.0	181.0	168.0	0.0	55.0	48.0	108.0	62.0	41.0	153.0	214.0	14.0	37.0	0.0	58.0	13.0	216.0	33.0	17.0	34.0	6.0	171.0	173.0	80.0	19.0	36.0	125.0	43.0	115.0	21.0	56.0	318.0	45.0	49.0	83.0	36.0	35.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured;__	517.0	1071.0	928.0	673.0	702.0	771.0	1665.0	1277.0	1125.0	776.0	863.0	914.0	563.0	582.0	849.0	1099.0	444.0	671.0	1004.0	1874.0	938.0	111.0	577.0	956.0	613.0	997.0	1064.0	537.0	732.0	452.0	613.0	476.0	576.0	1112.0	439.0	700.0	1280.0	409.0	454.0	853.0	693.0	600.0	1414.0	804.0	500.0	857.0	527.0	1343.0	405.0	948.0	637.0	1034.0	528.0	1239.0	864.0	997.0	489.0	1125.0	561.0	793.0	959.0	302.0	493.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;__;__	70.0	30.0	12.0	27.0	29.0	29.0	11.0	23.0	84.0	18.0	27.0	145.0	8.0	0.0	14.0	8.0	30.0	12.0	72.0	17.0	25.0	7.0	21.0	8.0	2.0	4.0	2.0	53.0	5.0	0.0	58.0	5.0	60.0	8.0	10.0	4.0	49.0	5.0	9.0	2.0	10.0	9.0	83.0	9.0	11.0	52.0	32.0	242.0	13.0	14.0	12.0	12.0	20.0	25.0	113.0	15.0	17.0	24.0	20.0	12.0	7.0	60.0	15.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);D_5__Bryobacter	578.0	318.0	373.0	343.0	249.0	507.0	492.0	594.0	567.0	444.0	547.0	579.0	427.0	354.0	399.0	405.0	415.0	243.0	601.0	487.0	457.0	270.0	506.0	376.0	153.0	373.0	487.0	610.0	330.0	226.0	417.0	215.0	539.0	425.0	255.0	234.0	656.0	144.0	300.0	454.0	195.0	366.0	568.0	386.0	192.0	510.0	413.0	745.0	532.0	275.0	414.0	406.0	344.0	462.0	505.0	367.0	199.0	884.0	428.0	275.0	503.0	213.0	223.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);D_5__Candidatus Solibacter	180.0	317.0	234.0	233.0	303.0	271.0	317.0	406.0	200.0	293.0	403.0	162.0	307.0	406.0	204.0	266.0	146.0	220.0	262.0	425.0	309.0	144.0	176.0	369.0	159.0	260.0	347.0	191.0	267.0	357.0	125.0	191.0	217.0	223.0	152.0	191.0	299.0	187.0	169.0	457.0	259.0	339.0	351.0	246.0	352.0	277.0	304.0	332.0	201.0	299.0	260.0	308.0	170.0	305.0	240.0	278.0	160.0	274.0	250.0	306.0	500.0	64.0	162.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);D_5__PAUC26f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3);__	8.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	3.0	3.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	11.0	0.0	2.0	0.0	7.0	0.0	0.0	2.0	5.0	0.0	0.0	9.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 12;D_4__uncultured bacterium;D_5__uncultured bacterium	0.0	8.0	14.0	19.0	6.0	15.0	15.0	22.0	12.0	9.0	17.0	10.0	4.0	0.0	2.0	10.0	5.0	6.0	19.0	11.0	22.0	0.0	0.0	12.0	5.0	3.0	8.0	4.0	4.0	2.0	4.0	5.0	21.0	0.0	5.0	2.0	6.0	5.0	20.0	18.0	2.0	0.0	6.0	5.0	0.0	8.0	0.0	5.0	6.0	0.0	0.0	13.0	4.0	13.0	6.0	14.0	0.0	11.0	40.0	2.0	21.0	4.0	5.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 13;D_4__uncultured Acidobacteria bacterium;D_5__uncultured Acidobacteria bacterium	0.0	4.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	5.0	15.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	5.0	1.0	0.0	8.0	4.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	3.0	0.0	8.0	10.0	0.0	4.0	8.0	0.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	7.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 13;D_4__uncultured Holophaga sp.;D_5__uncultured Holophaga sp.	76.0	4.0	24.0	16.0	3.0	32.0	0.0	32.0	47.0	17.0	32.0	147.0	0.0	0.0	53.0	9.0	34.0	4.0	41.0	14.0	30.0	0.0	57.0	6.0	9.0	0.0	28.0	59.0	16.0	2.0	55.0	5.0	70.0	3.0	7.0	8.0	25.0	2.0	11.0	2.0	0.0	1.0	37.0	13.0	0.0	17.0	0.0	71.0	54.0	0.0	0.0	23.0	18.0	17.0	36.0	24.0	6.0	61.0	17.0	4.0	6.0	40.0	4.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 13;D_4__uncultured bacterium KF-JG30-18;D_5__uncultured bacterium KF-JG30-18	19.0	0.0	0.0	6.0	0.0	2.0	0.0	6.0	13.0	12.0	10.0	127.0	2.0	0.0	9.0	0.0	16.0	0.0	2.0	9.0	3.0	0.0	14.0	0.0	0.0	3.0	3.0	32.0	0.0	0.0	26.0	0.0	22.0	0.0	3.0	4.0	3.0	0.0	2.0	0.0	0.0	0.0	22.0	0.0	0.0	2.0	0.0	12.0	10.0	0.0	0.0	8.0	2.0	4.0	34.0	4.0	0.0	7.0	3.0	0.0	0.0	22.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 13;D_4__uncultured bacterium;D_5__uncultured bacterium	9.0	6.0	1.0	4.0	0.0	16.0	0.0	19.0	8.0	12.0	13.0	9.0	2.0	0.0	0.0	6.0	16.0	5.0	4.0	6.0	11.0	0.0	27.0	0.0	3.0	3.0	7.0	12.0	6.0	0.0	16.0	3.0	14.0	10.0	4.0	5.0	9.0	2.0	5.0	0.0	4.0	3.0	16.0	4.0	0.0	8.0	0.0	3.0	26.0	6.0	0.0	4.0	7.0	6.0	32.0	6.0	2.0	14.0	4.0	5.0	6.0	2.0	7.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 13;__;__	26.0	15.0	10.0	10.0	14.0	20.0	8.0	13.0	37.0	25.0	17.0	40.0	15.0	6.0	42.0	7.0	10.0	5.0	27.0	26.0	13.0	18.0	19.0	28.0	2.0	22.0	87.0	25.0	44.0	4.0	6.0	2.0	18.0	11.0	4.0	6.0	31.0	8.0	9.0	10.0	4.0	10.0	52.0	23.0	9.0	17.0	27.0	28.0	15.0	70.0	12.0	17.0	16.0	11.0	23.0	14.0	6.0	10.0	22.0	10.0	29.0	16.0	12.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2;Ambiguous_taxa;Ambiguous_taxa	474.0	77.0	331.0	154.0	57.0	761.0	301.0	566.0	174.0	236.0	262.0	86.0	3.0	112.0	78.0	30.0	633.0	59.0	206.0	27.0	428.0	0.0	732.0	48.0	99.0	26.0	193.0	648.0	207.0	36.0	208.0	68.0	140.0	170.0	199.0	55.0	755.0	34.0	108.0	140.0	130.0	29.0	79.0	172.0	80.0	116.0	6.0	51.0	629.0	15.0	34.0	64.0	604.0	68.0	222.0	43.0	139.0	429.0	212.0	131.0	90.0	413.0	68.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2;D_4__bacterium enrichment culture clone heteroC52_4W;D_5__bacterium enrichment culture clone heteroC52_4W	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	5.0	0.0	0.0	0.0	4.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	3.0	0.0	3.0	15.0	0.0	9.0	9.0	17.0	5.0	0.0	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	6.0	19.0	0.0	4.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2;D_4__metagenome;D_5__metagenome	0.0	0.0	4.0	4.0	0.0	4.0	3.0	1.0	0.0	3.0	4.0	0.0	2.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	3.0	0.0	3.0	0.0	1.0	0.0	0.0	2.0	7.0	3.0	8.0	0.0	0.0	0.0	0.0	2.0	3.0	2.0	3.0	0.0	9.0	0.0	1.0	0.0	0.0	3.0	0.0	19.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2;D_4__uncultured Acidobacteriales bacterium;D_5__uncultured Acidobacteriales bacterium	0.0	2.0	14.0	5.0	62.0	6.0	134.0	15.0	6.0	14.0	6.0	11.0	17.0	51.0	6.0	50.0	3.0	10.0	1.0	28.0	10.0	4.0	0.0	5.0	7.0	39.0	15.0	0.0	0.0	15.0	0.0	10.0	3.0	26.0	7.0	13.0	2.0	3.0	17.0	88.0	0.0	105.0	13.0	81.0	43.0	7.0	0.0	3.0	0.0	0.0	61.0	17.0	0.0	23.0	0.0	23.0	9.0	0.0	37.0	37.0	138.0	0.0	28.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2;D_4__uncultured Holophaga sp.;D_5__uncultured Holophaga sp.	490.0	237.0	367.0	380.0	88.0	551.0	254.0	299.0	557.0	525.0	364.0	571.0	120.0	130.0	408.0	345.0	375.0	157.0	729.0	399.0	260.0	40.0	443.0	345.0	208.0	230.0	527.0	412.0	484.0	81.0	369.0	206.0	528.0	451.0	255.0	359.0	625.0	159.0	222.0	101.0	239.0	61.0	737.0	696.0	117.0	514.0	136.0	742.0	506.0	337.0	139.0	243.0	387.0	219.0	450.0	196.0	367.0	824.0	511.0	177.0	121.0	253.0	126.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2;D_4__uncultured bacterium KF/GS-JG36-31;D_5__uncultured bacterium KF/GS-JG36-31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	31.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	45.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	15.0	0.0	11.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	0.0	0.0	75.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2;D_4__uncultured bacterium;D_5__uncultured bacterium	7.0	90.0	12.0	5.0	87.0	22.0	33.0	11.0	123.0	5.0	56.0	9.0	68.0	9.0	27.0	66.0	28.0	98.0	35.0	47.0	17.0	47.0	12.0	53.0	20.0	15.0	58.0	32.0	38.0	34.0	29.0	16.0	18.0	68.0	8.0	34.0	17.0	23.0	18.0	45.0	72.0	75.0	70.0	44.0	60.0	208.0	105.0	140.0	15.0	74.0	8.0	172.0	13.0	132.0	25.0	99.0	17.0	2.0	54.0	53.0	77.0	22.0	34.0
